Team,Win-Loss Record,Win_pct,MOV,ATS +/-
New England,171-84-0,67.1,7,2.5
Kansas City,167-88-0,65.5,4,1.3
Green Bay,159-92-2,63.4,3.8,0.8
Pittsburgh,150-93-2,61.7,2.5,0.6
Baltimore,151-97-0,60.9,4.8,2.1
Seattle,150-99-1,60.2,3.5,1.5
New Orleans,144-99-0,59.3,4.1,1.4
Dallas,133-107-0,55.4,2.6,0.7
Philadelphia,133-110-1,54.7,1.8,-0.1
San Francisco,136-114-1,54.4,2.1,0.7
Buffalo,127-114-0,52.7,1.4,1
Minnesota,122-114-2,51.7,0.1,0.2
Denver,122-119-0,50.6,0,-0.6
Indianapolis,121-119-1,50.4,-0.8,-0.3
Atlanta,121-120-0,50.2,0.2,-0.1
Cincinnati,118-121-3,49.4,0.2,0.6
LA Rams,118-123-1,49,-0.6,-0.3
LA Chargers,112-124-0,47.5,1,-0.2
Miami,110-124-0,47,-2.3,-0.7
Houston,111-131-1,45.9,-1.7,-0.6
Tennessee,109-129-0,45.8,-1.8,-0.7
Tampa Bay,109-132-0,45.2,-1.1,-0.4
Detroit,106-129-2,45.1,-1.1,0.1
Arizona,104-129-2,44.6,-2.2,-0.3
Chicago,103-132-0,43.8,-1.6,0.1
NY Giants,101-136-1,42.6,-2.9,-0.6
Carolina,101-136-1,42.6,-2.1,-0.7
Las Vegas,97-136-0,41.6,-4.5,-1.7
NY Jets,92-142-0,39.3,-4.6,-1.5
Washington,91-141-2,39.2,-4.2,-1.3
Cleveland,81-152-1,34.8,-4.4,-2.2
Jacksonville,76-160-0,32.2,-5.3,-1.7
